Interesse;Fähigkeiten;neu;lebensnah;Abwechslung;Erziehung;Studium;Theorie;Bewältigung;Note;andere Fächer;Persönlichkeit;Lehrkräfte;Mitschüler;Information;Erneut wählen;Geschlecht;Jahrgang;Kurs;Punkte;weiter;Kurs
4;3;4;4;4;5;5;3;2;3;1;4;3;3;3;1;2;1;1;10;1;1
1;2;3;3;2;2;1;1;3;3;4;3;1;1;1;1;2;1;1;8;1;1
4;5;5;3;4;4;4;3;3;3;1;2;3;3;5;1;2;1;1;2;1;1
4;4;5;3;4;3;1;2;3;3;2;3;3;4;2;1;2;1;1;10;1;1
5;1;4;4;3;4;2;4;1;1;1;3;4;1;3;1;1;1;1;14;1;1
4;3;5;2;3;4;2;2;3;2;3;3;3;1;2;1;1;1;1;9;1;1
5;3;5;2;1;3;3;3;2;2;1;1;3;1;2;1;1;1;1;14;1;2
5;5;5;5;4;3;2;5;5;1;1;4;3;3;4;1;1;1;1;14;1;2
5;4;2;4;2;5;5;5;2;1;1;1;3;1;4;1;1;1;1;14;1;1
5;5;1;4;1;4;4;4;4;2;1;4;1;1;5;1;1;1;1;12;1;1
3;5;4;5;3;5;1;4;5;1;4;4;3;1;4;1;2;1;1;8;1;1
4;3;4;5;5;5;2;3;3;4;4;3;3;2;3;1;1;1;1;8;1;2
5;3;4;3;4;5;5;5;4;2;1;2;1;1;3;1;1;1;1;13;1;1
5;5;5;5;5;5;2;3;4;2;1;4;5;1;4;1;1;1;1;13;1;1
5;4;3;5;5;5;5;3;1;3;3;3;3;4;3;1;1;1;1;8;1;2
5;5;5;4;4;4;3;3;3;1;2;3;3;4;4;1;1;1;1;9;1;2
5;5;4;4;3;4;3;4;4;1;1;4;3;3;3;1;1;1;1;8;1;2
5;5;4;4;3;5;3;4;4;1;1;4;3;3;3;1;1;1;1;8;1;2
5;5;5;5;3;5;4;3;4;3;1;2;3;3;2;1;1;1;1;14;1;2
4;3;5;4;4;4;3;3;3;2;2;3;3;3;5;1;2;1;1;8;2;0
4;4;3;5;4;5;5;3;4;3;1;4;3;2;1;1;1;1;1;12;1;2
4;2;5;1;2;1;2;3;2;1;5;2;4;1;3;1;2;1;1;5;2;0
4;2;5;5;5;3;1;2;1;2;5;3;3;1;1;1;2;1;1;11;2;0
3;3;4;4;4;2;4;4;2;1;4;2;2;1;4;1;1;1;1;10;1;1
4;2;4;3;4;3;1;4;1;3;5;2;3;3;3;1;2;1;1;5;1;1
5;3;4;5;5;4;2;4;1;1;2;3;3;1;2;1;2;1;1;13;1;2
5;3;5;5;4;3;2;5;4;1;4;4;1;1;4;1;2;1;1;12;1;2
5;4;5;3;3;1;1;4;1;3;1;1;1;3;2;1;1;1;1;12;2;0
5;5;5;5;5;3;5;3;4;1;1;3;3;1;3;1;1;1;1;12;1;1
4;4;4;4;3;4;2;3;2;2;2;4;3;4;3;1;2;1;1;8;1;1
5;5;4;5;5;5;4;3;4;4;3;3;3;1;5;1;1;1;1;12;1;2
5;4;4;5;3;4;2;2;3;3;1;1;3;1;4;1;1;1;1;11;1;1
4;4;5;4;5;3;4;2;3;2;1;1;3;1;2;1;1;1;1;8;1;2
5;4;5;5;4;5;4;4;4;1;1;1;3;1;4;1;1;1;1;11;1;1
3;2;4;4;4;3;2;2;2;3;4;3;3;2;3;1;2;1;1;9;2;0
3;4;5;4;4;5;5;3;4;3;1;3;3;5;2;1;1;1;1;11;1;1
4;3;5;5;5;5;3;2;2;3;1;3;3;5;2;1;1;1;1;11;2;0